Brand,Product,Gender,Product_Type,Price,Sold,Available,Revenue_Potential,Demand_Score,Price_Category,Market_Segment,Sales_Performance,Brand_Popularity,Country,Inventory_Status,Stock_Turnover,Revenue_Rank
Reyane Tradition,Insurrection II Wild 3.0 oz By Reyane Tradition Eau De Toilette Men Fragrance,Men,Eau De Toilette,22.99,12.0,0.0,275.88,15.296999999999997,Budget,Mass Market,Low Seller,Low,United States,Low Stock,Fast,Others
Moschino,"MOSCHINO Toy Boy Eau De Parfum for Men, 3.4 US fl. oz. / 100 ml",Men,Parfum,29.99,17.0,5.0,509.83,20.897,Budget,Mass Market,Low Seller,Low,United States,Medium Stock,Moderate,Others
SECERTMU,New 2024 Sexy Cologne Lure Her Him Long Lasting Pheromone Perfume for Men USA✅,Men,Cologne,10.99,35.0,10.0,384.65000000000003,27.797,Budget,Mass Market,Medium Seller,Low,United States,Medium Stock,Moderate,Others
HUGO BOSS,BOSS THE SCENT by HUGO BOSS Cologne for Men edt 3.3 oz 3.4 tester,Men,EDT,47.26,52.0,88.0,2457.52,50.577999999999996,Mid-Range,Premium,Medium Seller,Low,United States,High Stock,Slow,Others
Joop,Joop Men's Joop Homme Wild EDT 4.2 oz (Tester) Fragrances 3607345849980,Men,EDT,23.49,29.0,0.0,681.2099999999999,27.346999999999998,Budget,Mass Market,Medium Seller,Low,United States,Low Stock,Fast,Others
Penhaligon's,Penhaligon's The Tragedy of Lord George 2.5oz EDP Spray Men's Perfume,Men,EDP,99.99,30.0,0.0,2999.7,50.997,Luxury,Luxury,Medium Seller,Low,United States,Low Stock,Fast,Others
Burberry,Burberry London Classic by Burberry 3.3 / 3.4 oz EDT Cologne for Men New In Box,Men,EDT,32.98,6188.0,10.0,204080.24,4341.494,Mid-Range,Premium,High Seller,High,United States,Medium Stock,Fast,Top 10%
Yardley London,Yardley English Honeysuckle Perfum By Yardley London EDT Spray 4.2oz/125ml Women,Women,EDT,22.48,30.0,10.0,674.4,27.744,Budget,Mass Market,Medium Seller,Low,United States,Medium Stock,Moderate,Others
Giorgio Armani,ACQUA DI GIO PROFONDO GIORGIO ARMANI 0.5oz / 15ml  EDP Spray NEW IN SEALED BOX,Men,EDP,27.0,5.0,6.0,135.0,11.6,Budget,Mass Market,Low Seller,High,United States,Medium Stock,Slow,Others
YSL,YSL Yves Saint Laurent Y Eau de Perfume  100ml / 3.3 oz Men Cologne Sealed Box,Men,Cologne,44.99,13.0,10.0,584.87,22.597,Mid-Range,Premium,Low Seller,Low,Hong Kong,Medium Stock,Slow,Others
Gucci,Gucci Bamboo Eau De Parfum Spray 2.5 fl oz New Factory Sealed,Women,Parfum,31.0,112.0,3.0,3472.0,87.69999999999999,Mid-Range,Premium,High Seller,Medium,United States,Low Stock,Fast,Others
Ariana Grande,Cloud By Ariana Grande 3.4oz EDP Perfume Spray Fragrance for Women New in Box,Women,EDP,29.99,14.0,9.0,419.85999999999996,18.796999999999997,Budget,Mass Market,Low Seller,Medium,United States,Medium Stock,Slow,Others
Assorted,Men's Cologne Sample Spray Vials - Choose Scent Combined Shipping,Men,Cologne,3.5,3009.0,4.0,10531.5,2107.35,Budget,Mass Market,High Seller,Low,United States,Low Stock,Fast,Top 25%
CHANEL,Chanel Chance Eau Fraiche Eau De Parfum 3.4 oz New & Sealed 100% Authentic,Women,Parfum,119.0,7.0,2.0,833.0,40.599999999999994,Luxury,Luxury,Low Seller,Medium,United States,Low Stock,Moderate,Others
Dolce&Gabbana,Dolce & Gabbana The One Mysterious Night Exclusive 100ml / 3.3 oz EDP Spray Men,Men,EDP,124.99,13.0,2.0,1624.87,46.597,Luxury,Luxury,Low Seller,High,United States,Low Stock,Moderate,Others
Al-Rehab,Soft - Al-Rehab Eau De Natural Perfume Spray - 35 ml (1.15 fl. oz),Women,Unknown,9.25,30.0,10.0,277.5,23.775,Budget,Mass Market,Medium Seller,Low,United States,Medium Stock,Moderate,Others
Dolce&Gabbana,Dolce & Gabbana Light Blue Eau Intense 6.7 oz. EDP Spray for Men. New in Box,Men,EDP,65.97,37.0,10.0,2440.89,45.691,Mid-Range,Premium,Medium Seller,High,United States,Medium Stock,Moderate,Others
Carolina Herrera,Carolina Herrera Good Girl EDP Supreme 1.5ml .05fl oz x 4 Perfume Spray Samples,Women,EDP,13.75,52.0,10.0,715.0,40.525,Budget,Mass Market,Medium Seller,High,United States,Medium Stock,Moderate,Others
Paco Rabanne,Phantom by Paco Rabanne 5.1 oz EDT Refillable Cologne for Men Brand New In Box,Men,EDT,84.6,111.0,0.0,9390.599999999999,103.07999999999998,Luxury,Luxury,High Seller,High,United States,Low Stock,Fast,Others
Hollister,Hollister Festival Vibes 3.4 oz EDT Cologne for Men Brand New In Box,Men,EDT,18.76,227.0,5.0,4258.52,164.52799999999996,Budget,Mass Market,High Seller,Low,United States,Medium Stock,Fast,Others
Lattafa,Lattafa Ladies Haya EDP 3.4 oz Fragrances 6291108738504,Women,EDP,34.77,9.0,3.0,312.93,16.731,Mid-Range,Premium,Low Seller,Medium,United States,Low Stock,Moderate,Others
Paco Rabanne,Paco Rabanne Invictus 3.4oz Eau de Toilette Men's Cologne Sealed,Men,Cologne,39.99,16.0,10.0,639.84,23.197,Mid-Range,Premium,Low Seller,High,United States,Medium Stock,Slow,Others
Elizabeth Arden,5TH AVENUE by Elizabeth Arden 4.2 oz EDP for Women New In Box Sealed,Women,EDP,23.42,536.0,110.0,12553.12,382.226,Budget,Mass Market,High Seller,Medium,United States,High Stock,Moderate,Top 25%
Michael Malul Gents Scents,Edgewater 3.4 EDP Michael Malul Gents Scents,Men,EDP,99.86,4.0,3.0,399.44,32.757999999999996,Luxury,Luxury,Low Seller,Low,United States,Low Stock,Slow,Others
Azzaro,CHROME LEGEND by Azzaro cologne for men EDT 4.2 oz New in Box,Men,EDT,24.45,1691.0,0.0,41344.95,1191.0349999999999,Budget,Mass Market,High Seller,Medium,United States,Low Stock,Fast,Top 10%
Calvin Klein,CK ONE BY CALVIN KLEIN 3.4/3.3 OZ EDT SPRAY FOR UNISEX NEW IN NO BOX SAME AS PIC,Men,EDT,21.95,189.0,3.0,4148.55,138.885,Budget,Mass Market,High Seller,High,United States,Low Stock,Fast,Others
Versace,Versace Pour Femme Dylan Blue 3.4 oz EDP Perfume for Women New In Box,Women,EDP,55.73,742.0,10.0,41351.659999999996,536.119,Mid-Range,Premium,High Seller,High,United States,Medium Stock,Fast,Top 10%
Dolce&Gabbana,Dolce & Gabbana Light Blue Summer Vibes Eau de Toilette Sample Spray 1.5ml New,Women,Eau De Toilette,11.95,73.0,10.0,872.3499999999999,54.684999999999995,Budget,Mass Market,Medium Seller,High,United States,Medium Stock,Fast,Others
Elixir,Christian Dior Sauvage Elixir Men EDC Spray 2 oz Sealed.,Men,Unknown,110.19,11.0,10.0,1212.09,40.75699999999999,Luxury,Luxury,Low Seller,Low,United States,Medium Stock,Slow,Others
Unbranded,YSL Yves Saint Laurent Y Eau de Perfume Spray Cologne For Men 3.3 oz 100ML,Men,Cologne,49.99,68.0,8.0,3399.32,62.596999999999994,Mid-Range,Premium,Medium Seller,High,United States,Medium Stock,Fast,Others
Tommy Bahama,Maritime Deep Blue by Tommy Bahama 4.2 oz Cologne for Men New in Box,Men,Cologne,32.62,242.0,10.0,7894.039999999999,179.18599999999998,Mid-Range,Premium,High Seller,Low,United States,Medium Stock,Fast,Others
Salvatore Ferragamo,Salvatore Ferragamo Men's Uomo Urban Feel EDT Spray 3.4 oz Fragrances,Men,EDT,32.89,5.0,3.0,164.45,13.366999999999999,Mid-Range,Premium,Low Seller,Medium,United States,Low Stock,Slow,Others
Liz Claiborne,"Liz Claiborne Curve Crush for Men Eau de Cologne for Men, 4.2 Oz",Men,Cologne,17.98,150.0,0.0,2697.0,110.394,Budget,Mass Market,High Seller,Medium,United States,Low Stock,Fast,Others
Lalique,"Brioni Intense by Brioni, 3.4 oz EDP Spray for Men",Men,EDP,57.46,202.0,10.0,11606.92,158.63799999999998,Mid-Range,Premium,High Seller,Low,United States,Medium Stock,Fast,Top 25%
AS SHOWN,PRADA Paradoxe by Prada EDP 3.0oz/90ml Spray for Women USA New In Box,Women,EDP,55.39,6.0,0.0,332.34000000000003,20.817,Mid-Range,Premium,Low Seller,Medium,United States,Low Stock,Fast,Others
As Show,Sauvage EDP Eau de Parfum Cologne for Men 3.4 oz New In Box Free Shipping,Men,EDP,69.99,49.0,10.0,3429.5099999999998,55.297,Mid-Range,Premium,Medium Seller,Medium,Hong Kong,Medium Stock,Moderate,Others
Montale,Montale Intense Cafe by Montale  EAU DE PARFUM SPRAY 3.4 OZ NEW IN BOX,Women,Parfum,65.5,46.0,0.0,3013.0,51.849999999999994,Mid-Range,Premium,Medium Seller,Low,United States,Low Stock,Fast,Others
Davidoff,Cool Water Womens perfume  1.7 oz / 50 ml EDT Spray by Davidoff  * Authentic *,Women,EDT,15.99,98.0,10.0,1567.02,73.39699999999999,Budget,Mass Market,Medium Seller,Medium,United States,Medium Stock,Fast,Others
Montblanc,Mont Blanc Explorer 6.7 oz EDP Cologne for Men New In Box,Men,EDP,62.08,950.0,0.0,58976.0,683.624,Mid-Range,Premium,High Seller,Low,United States,Low Stock,Fast,Top 10%
Unbranded,Givenchy Gentleman 3.3oz.Eau de Toilette INTENSE Spray for Men New in Sealed Box,Men,Eau De Toilette,39.99,18.0,5.0,719.82,24.597,Mid-Range,Premium,Low Seller,High,Hong Kong,Medium Stock,Moderate,Others
al hambra,Reyna Pour Femme EDP  Spray 100ML (3.4 FL.OZ)  Newest Launch Sale,Women,EDP,25.99,12.0,10.0,311.88,16.196999999999996,Budget,Mass Market,Low Seller,Low,United States,Medium Stock,Slow,Others
Elizabeth Arden,ARDEN BEAUTY by Elizabeth Arden 3.3 / 3.4 oz EDP for Women New In Box Sealed,Women,EDP,16.82,662.0,111.0,11134.84,468.44599999999997,Budget,Mass Market,High Seller,Medium,United States,High Stock,Fast,Top 25%
Philosophy,Philosophy Summer Grace 4oz Eau De Toilette Spray Pre-Coty,Women,Eau De Toilette,15.0,5.0,5.0,75.0,8.0,Budget,Mass Market,Low Seller,Low,United States,Medium Stock,Slow,Others
Maison Martin Margiela,Replica Eau De Toilette ON A DATE .34 oz. NIB!  Memory In A Fragrance,Women,Eau De Toilette,21.0,4.0,8.0,84.0,9.1,Budget,Mass Market,Low Seller,Low,United States,Medium Stock,Slow,Others
Versace,Versace Man Fraiche EDT Spray 3.4 oz / 100 ml New In Box Free Shipping,Men,EDT,30.0,270.0,2.0,8100.0,198.0,Mid-Range,Premium,High Seller,High,United States,Low Stock,Fast,Others
Victoria's Secret,Victoria's Secret Bombshell Women's 3.4 fl oz Eau de Parfum NEW IN BOX & SEALED,Women,Parfum,33.89,216.0,9.0,7320.24,161.367,Mid-Range,Premium,High Seller,Medium,United States,Medium Stock,Fast,Others
Calvin Klein,Euphoria by Calvin Klein 3.4 oz EDT Cologne for Men New In Box,Men,EDT,32.98,4427.0,10.0,146002.46,3108.7939999999994,Mid-Range,Premium,High Seller,High,United States,Medium Stock,Fast,Top 10%
Juicy Couture,Juicy Couture By Juicy Couture Eau De Parfum Spray  Perfume Authentic 1 oz,Women,Parfum,14.99,5.0,10.0,74.95,7.997,Budget,Mass Market,Low Seller,Medium,United States,Medium Stock,Slow,Others
As Show,Addict by Christian EDP Fragrances for Women 3.4 oz / 100 ml NEW IN SEALED BOX,Women,EDP,59.99,20.0,10.0,1199.8,31.997,Mid-Range,Premium,Medium Seller,Medium,Hong Kong,Medium Stock,Slow,Others
Coach,Coach Wild Rose 3.0 oz EDP eau de parfum spray womens perfume 90 ml Tester,Women,EDP,31.5,287.0,10.0,9040.5,210.34999999999997,Mid-Range,Premium,High Seller,Medium,United States,Medium Stock,Fast,Others
Roja,"Roja Parfums Elysium Pour Homme Parfum Cologne Sample Spray .06oz, 1.7ml in Card",Men,Parfum,17.89,68.0,5.0,1216.52,52.96699999999999,Budget,Mass Market,Medium Seller,Low,United States,Medium Stock,Fast,Others
Yves Saint Laurent,Libre By Yves Saint Laurent for Women EDT 3 oz / 90 ml *NEW IN SEALED BOX*,Women,EDT,59.96,19.0,4.0,1139.24,31.287999999999997,Mid-Range,Premium,Low Seller,High,Hong Kong,Low Stock,Moderate,Others
Thierry Mugler,Thierry Mugler Angel Womens EDP 3.4 oz Iconic Luxurious Scent New Sealed,Women,EDP,49.99,75.0,6.0,3749.25,67.497,Mid-Range,Premium,Medium Seller,Medium,United States,Medium Stock,Fast,Others
Philosophy,NIB Philosophy Pure Grace 2oz  EDT Women's Perfume New Authentic,Women,EDT,30.17,441.0,10.0,13304.970000000001,317.751,Mid-Range,Premium,High Seller,Low,United States,Medium Stock,Fast,Top 25%
Giorgio Armani,Armani Code Profumo 3.7oz by Men's Eau de Parfum Spray EDP New &  Sealed Box,Men,EDP,69.99,35.0,8.0,2449.6499999999996,45.497,Mid-Range,Premium,Medium Seller,High,United States,Medium Stock,Moderate,Others
El Ganso,El Ganso Bravo Monsieur Eau De Toilette EDT  4.2 oz 125 ml Cologne New,Men,EDT,56.0,6.0,3.0,336.0,21.0,Mid-Range,Premium,Low Seller,Low,United States,Low Stock,Slow,Others
Ralph Lauren,POLO by Ralph Lauren 4.0 oz Cologne EDT Men GREEN New in Box,Men,EDT,38.57,1503.0,484.0,57970.71,1063.6709999999998,Mid-Range,Premium,High Seller,High,United States,High Stock,Moderate,Top 10%
Lancôme,Lancome Tresor 3.4oz EDP Women's Elegant Perfume Spray New,Women,EDP,43.99,29.0,10.0,1275.71,33.497,Mid-Range,Premium,Medium Seller,High,United States,Medium Stock,Moderate,Others
Dolce & Gabbana,Light Blue Summer Vibes by Dolce & Gabbana 3.3 oz EDT Perfume Women New In Box,Women,EDT,52.38,27.0,10.0,1414.26,34.614,Mid-Range,Premium,Medium Seller,Medium,United States,Medium Stock,Moderate,Others
Ralph Lauren,Ralph Lauren Romance Rose Eau de Parfum 3.4 oz 100 ml Brand New Sealed,Women,Parfum,44.99,3.0,7.0,134.97,15.597,Mid-Range,Premium,Low Seller,High,United States,Medium Stock,Slow,Others
Carolina Herrera,Carolina Herrera Good Girl Blush Eau de Parfum 0.24 Oz 7 mL Splash Dabber Travel,Women,Parfum,18.99,25.0,10.0,474.74999999999994,23.197,Budget,Mass Market,Medium Seller,High,United States,Medium Stock,Moderate,Others
KENZO,Kenzo Jungle Elephant by Kenzo EDP For Women 3.4 oz / 100 ml *NEW IN BOX*,Women,EDP,38.99,57.0,10.0,2222.4300000000003,51.597,Mid-Range,Premium,Medium Seller,Low,United States,Medium Stock,Fast,Others
HERMÈS,H24 by Hermes EDT for Men 1.7 oz / 50 ml *NEW IN BOX*,Men,EDT,39.99,40.0,10.0,1599.6000000000001,39.997,Mid-Range,Premium,Medium Seller,Medium,United States,Medium Stock,Moderate,Others
Dolce&Gabbana,Dolce & Gabbana Light Blue 6.7 oz Spray Eau De Toilette Women's New & Sealed,Women,Eau De Toilette,53.99,54.0,0.0,2915.46,53.997,Mid-Range,Premium,Medium Seller,High,United States,Low Stock,Fast,Others
Giorgio Armani,Armani Aqua Di Gio 3.4 oz EDT Iconic Men's Fragrance Sealed New in Box,Men,EDT,29.99,141.0,6.0,4228.59,107.69699999999999,Budget,Mass Market,High Seller,High,United States,Medium Stock,Fast,Others
Giorgio Armani,"Armani Code by Giorgio Armani, 4.2 oz Parfum Spray for Men",Men,Parfum,94.43,98.0,10.0,9254.140000000001,96.929,Luxury,Luxury,Medium Seller,High,United States,Medium Stock,Fast,Others
Yves Saint Laurent,YSL YVES SAINT LAURENT Y PARFUM L ELIXIR SAMPLE SPRAY 0.04 FL OZ / 1.2 ML,Men,Parfum,9.89,6.0,10.0,59.34,7.167,Budget,Mass Market,Low Seller,High,United States,Medium Stock,Slow,Others
Yves Saint Laurent,Yves Saint Laurent L'Homme 3.3 oz Men's Eau de Parfum,Men,Parfum,84.59,19.0,3.0,1607.21,38.677,Luxury,Luxury,Low Seller,High,United States,Low Stock,Moderate,Others
Viktor & Rolf,Flowerbomb by Viktor & Rolf 3.4 oz L'Eau de Parfum Spray BRAND NEW SEALED IN BOX,Women,Parfum,59.99,150.0,10.0,8998.5,122.997,Mid-Range,Premium,High Seller,Medium,United States,Medium Stock,Fast,Others
Bath & Body Works,Bath & Body Works Men's Collection FRESHWATER Cologne Spray 3.4 FL Ounce,Men,Cologne,29.97,0.0,4.0,0.0,8.991,Budget,Mass Market,Low Seller,Low,United States,Low Stock,Slow,Others
FLOWER,12 Piece Woman’s Perfume Lot: Assorted scents In 3.4 Oz Bottles,Women,Unknown,48.0,1.0,4.0,48.0,15.099999999999998,Mid-Range,Premium,Low Seller,Low,United States,Low Stock,Slow,Others
Yves Saint Laurent,Yves Saint Laurent Libre Eau De Parfum EDP Spray For Women 3.0 Oz 90 ml New Seal,Women,EDP,49.68,21.0,10.0,1043.28,29.604,Mid-Range,Premium,Medium Seller,High,United States,Medium Stock,Slow,Others
Armaf,Armaf Ladies The Pride Of Armaf White EDP Spray 3.4 oz Fragrances 6294015138320,Women,EDP,26.31,20.0,3.0,526.1999999999999,21.893,Budget,Mass Market,Medium Seller,High,United States,Low Stock,Moderate,Others
Rasasi,It's Essential EDP Perfume By Rasasi 100 ML:🥇Hot New Rasasi Premium Line🥇,Men,EDP,45.0,37.0,8.0,1665.0,39.4,Mid-Range,Premium,Medium Seller,Medium,United States,Medium Stock,Moderate,Others
Yves Saint Laurent,YSL YVES SAINT LAURENT LIBRE EDP 1.2ml .04fl oz x 1 PERFUME SPRAY SAMPLE VIAL,Women,EDP,7.5,171.0,10.0,1282.5,121.94999999999999,Budget,Mass Market,High Seller,High,United States,Medium Stock,Fast,Others
Dolce&Gabbana,Dolce & Gabbana Pour Femme 3.3 / 3.4 oz EDP Perfume for Women Brand New Tester,Women,EDP,41.34,171.0,2.0,7069.14,132.10199999999998,Mid-Range,Premium,High Seller,High,United States,Low Stock,Fast,Others
Carolina Herrera,Carolina Herrera Very Good Girl 2.7o 80 Ml Eau De Partum Brand New Sealed Box,Women,Unknown,51.99,12.0,8.0,623.88,23.997,Mid-Range,Premium,Low Seller,High,United States,Medium Stock,Slow,Others
Dolce&Gabbana,Dolce & Gabbana Light Blue 3.3 /3.4 oz Women’s Eau de Toilette EDT Spray NEW!!,Women,EDT,28.6,145.0,10.0,4147.0,110.08,Budget,Mass Market,High Seller,High,United States,Medium Stock,Fast,Others
Vera Wang,PRINCESS by VERA WANG Perfume 3.3 / 3.4 oz EDT For Women NEW in BOX,Women,EDT,25.42,4123.0,107.0,104806.66,2893.726,Budget,Mass Market,High Seller,Low,United States,High Stock,Fast,Top 10%
Juliette has a gun,"Not a Perfume by Juliette Has A Gun, 3.3 oz EDP Spray for Women Eau De Parfum",Women,EDP,49.99,288.0,2.0,14397.12,216.59699999999998,Mid-Range,Premium,High Seller,Medium,United States,Low Stock,Fast,Top 25%
Liz Claiborne,CURVE for Men by Liz Claiborne 4.2 oz edt Cologne Spray New in Can / TIN,Men,EDT,27.03,1337.0,101.0,36139.11,944.009,Budget,Mass Market,High Seller,Medium,United States,High Stock,Fast,Top 25%
Snif,"Snif : Sweet Ash .07 FL. OZ. - Juniper, Fir Balsam, White Moss & Cedarwood",Women,Unknown,14.95,0.0,0.0,0.0,4.484999999999999,Budget,Mass Market,Low Seller,Low,United States,Low Stock,Fast,Others
Giorgio Armani,Armani Code By Giorgio Armani EDT for Men 4.2 oz / 125 ml NEW IN SEALED BOX,Men,EDT,41.99,132.0,9.0,5542.68,104.99699999999999,Mid-Range,Premium,High Seller,High,United States,Medium Stock,Fast,Others
Unbranded,Hawas for Men Eau De Parfum - 100ML (3.4 oz) by Rasasi Y1,Men,Parfum,54.99,6.0,2.0,329.94,20.697,Mid-Range,Premium,Low Seller,High,United States,Low Stock,Slow,Others
Roja,"Elysium by Roja Parfums, 3.4 oz Parfum Cologne Spray for Men",Men,Parfum,202.95,18.0,2.0,3653.1,73.48499999999999,Luxury,Luxury,Low Seller,Low,United States,Low Stock,Fast,Others
Rasasi,Rasasi Hawas for Men sample,Men,Unknown,16.97,16.0,10.0,271.52,16.290999999999997,Budget,Mass Market,Low Seller,Medium,United States,Medium Stock,Slow,Others
Jimmy Choo,Jimmy Choo Ladies I Want Choo Forever EDP Spray 3.38 oz (Tester) Fragrances,Women,EDP,49.81,30.0,3.0,1494.3000000000002,35.943,Mid-Range,Premium,Medium Seller,Medium,United States,Low Stock,Fast,Others
L’OCCITANE,L'Occitane En Provence Eau Des Baux EDT 3.4 oz 100 ml Eav Des Bavx New Original,Men,EDT,59.0,4.0,5.0,236.0,20.5,Mid-Range,Premium,Low Seller,Low,United States,Medium Stock,Slow,Others
Sol De Janeiro,Sol de Janeiro Mini Brazilian Crush Body Fragrance Mist 3.04 oz/ 90 mL,Women,Unknown,17.9,4.0,10.0,71.6,8.169999999999998,Budget,Mass Market,Low Seller,Low,United States,Medium Stock,Slow,Others
Bond No. 9,Greenwich Village Bond No 9 Handmade Stronger With Pheromones For Sexual Allure!,Men,Unknown,17.98,12.0,10.0,215.76,13.793999999999999,Budget,Mass Market,Low Seller,Low,United States,Medium Stock,Slow,Others
Giorgio Armani,Acqua Di Gio Profondo by Giorgio Armani 2.5 oz Parfum Cologne for Men New In Box,Men,Parfum,78.99,743.0,10.0,58689.57,543.797,Mid-Range,Premium,High Seller,High,United States,Medium Stock,Fast,Top 10%
Lattafa Perfumes,"Lattafa Perfumes Mayar EDP - Eau De Parfum Women 100ml(3.4 oz) | Lychee, white f",Women,EDP,26.99,155.0,6.0,4183.45,116.597,Budget,Mass Market,High Seller,Low,United States,Medium Stock,Fast,Others
Carolina Herrera,Carolina Herrera_Good Girl Perfume 2.7 OZ BLACK SHIPS IN 24 HOURS SEALED Mujer,Women,Unknown,47.8,38.0,10.0,1816.3999999999999,40.94,Mid-Range,Premium,Medium Seller,High,United States,Medium Stock,Moderate,Others
